Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6),J(pixel 7),J(pixel 8)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
0.06,-23.7378,-22.9894,-23.2262,-20.7104,-23.3996,15.1374,-22.5708,-20.7738
0.04,-23.7505,-22.9852,-23.2558,-20.7273,-23.4165,8.2537,-22.5751,-20.7611
0.02,-23.7886,-22.9683,-23.2304,-20.6934,-23.4249,1.38266,-22.537,-20.8161
0,-23.7548,-23.0063,-23.2558,-20.6808,-23.4292,-5.48414,-22.5666,-20.8034


Parameter,Pixel 1,Pixel 2,Pixel 3,Pixel 4,Pixel 5,Pixel 6,Pixel 7,Pixel 8
Voc (V),0.924332,1.07295,1.08375,1.08163,1.09764,0,1.08436,1.09124
Jsc (mA/cm^2),-23.7886,-22.9767,-23.3192,-20.7315,-23.4334,-5.45455,-22.5032,-20.8034
FF (%),68.6869,76.4025,76.6907,76.2158,76.9789,NaN,72.7671,76.3898
Vmpp (V),0.72,0.88,0.9,0.9,0.9,0,0.88,0.9
Jmpp (mA/cm^2),-20.9767,-21.4038,-21.5349,-18.9894,-22,-5.45455,-20.1776,-19.2685
Efficiency (%),15.1033,18.8353,19.3814,17.0905,19.8,0,17.7563,17.3416
Voc (V),0.99332,1.07774,1.08713,1.08485,1.10038,0,1.08596,1.09399
Jsc (mA/cm^2),-23.7548,-23.0063,-23.2558,-20.6808,-23.4292,-5.48414,-22.5666,-20.8034
FF (%),72.3523,76.5864,77.3231,76.8373,77.3909,NaN,71.9809,76.3151
Vmpp (V),0.8,0.9,0.9,0.9,0.92,0,0.86,0.9
Jmpp (mA/cm^2),-21.3404,-21.0994,-21.7209,-19.1543,-21.6871,-5.48414,-20.5116,-19.2981
Efficiency (%),17.0723,18.9894,19.5488,17.2389,19.9521,0,17.64,17.3683
